,carat,cut,cut_ord,color,clarity,clarity_ord,Predicted Price,Regression Variables,,,
470,0.3,Ideal,5,G,VS1,4,5130.4,,,,
471,0.52,Very Good,3,F,VVS2,6,7573.06,,,,
472,0.36,Ideal,5,E,VS1,4,5635.18,,,,
473,2.02,Ideal,5,F,SI2,2,18692.76,,,,
474,0.54,Ideal,5,D,VS2,5,7603.52,,,,
475,0.76,Very Good,3,J,VS1,4,8684.18,,,,
476,1.21,Very Good,3,F,VS2,5,12924.03,,,,
477,0.3,Premium,4,F,VS2,5,5426.3,,,,
478,0.9,Very Good,3,E,SI1,3,9408,,,,
479,0.36,Ideal,5,D,SI2,2,4727.18,,,,
480,0.71,Ideal,5,I,SI1,3,8125.73,,,,
481,1.09,Ideal,5,E,VS2,5,12230.67,,,,
482,0.31,Ideal,5,D,VVS2,6,6122.53,,,,
483,0.3,Very Good,3,G,VS1,4,4814.2,,,,
484,0.4,Ideal,5,I,VS2,5,6425.7,,,,
485,0.3,Ideal,5,E,VVS2,6,6038.4,,,,
486,1.7,Premium,4,F,VS2,5,17204.5,,,,
487,0.43,Very Good,3,E,SI1,3,5453.89,,,,
488,0.53,Ideal,5,F,VVS2,6,7973.39,,,,
489,0.41,Ideal,5,G,VS1,4,6055.83,,,,
490,0.72,Premium,4,E,SI1,3,8051.76,,,,
491,1,Good,2,G,VS2,5,10999.2,,,,
492,0.37,Ideal,5,F,VVS2,6,6627.31,,,,
493,0.5,Very Good,3,G,SI1,3,6042.8,,,,
494,0.31,Ideal,5,G,VVS1,7,6576.53,,,,
495,1.01,Very Good,3,F,VS2,5,11241.43,,,,
496,0.33,Ideal,5,E,VS2,5,5836.79,,,,
497,0.35,Good,2,I,SI1,3,4622.75,,,,
498,0.3,Ideal,5,E,VVS2,6,6038.4,,,,
499,0.37,Premium,4,J,VS2,5,6015.21,,,,
500,1.21,Ideal,5,G,VS2,5,13240.23,,,,
501,1.05,Ideal,5,E,VVS2,6,12348.15,,,,
502,1.11,Premium,4,D,VS2,5,12240.83,,,,
503,0.57,Ideal,5,D,VS2,5,7855.91,,,,
504,1.01,Very Good,3,E,SI2,2,9879.43,,,,
505,0.51,Ideal,5,I,VS2,5,7351.13,,,,
506,0.52,Ideal,5,G,VS1,4,6981.26,,,,
507,0.58,Ideal,5,G,SI1,3,7032.04,,,,
508,0.26,Very Good,3,E,VVS1,7,5839.68,,,,
509,0.85,Fair,1,H,I1,1,7763.15,,,,
510,0.43,Ideal,5,G,VVS1,7,7586.09,,,,
511,0.25,Ideal,5,G,VVS1,7,6071.75,,,,
512,0.78,Ideal,5,H,SI1,3,8714.64,,,,
513,1,Ideal,5,D,SI1,3,10565.5,,,,
514,0.31,Good,2,D,SI2,2,3832.23,,,,
515,0.44,Premium,4,G,VS2,5,6604.12,,,,
516,0.5,Premium,4,G,VVS2,6,7562.9,,,,
517,1.82,Very Good,3,G,SI1,3,17147.96,,,,
518,0.4,Very Good,3,D,VVS2,6,6563.5,,,,
519,0.33,Premium,4,H,VS2,5,5678.69,,,,
520,0.71,Premium,4,G,SI1,3,7967.63,,,,
521,2.03,Very Good,3,I,VS2,5,19822.69,,,,
522,0.25,Ideal,5,H,VS1,4,4709.75,,,,
523,1.1,Premium,4,F,VS2,5,12156.7,,,,
524,0.91,Very Good,3,G,VS1,4,9946.13,,,,
525,0.54,Ideal,5,D,VS1,4,7149.52,,,,
526,0.9,Good,2,D,SI1,3,9249.9,,,,
527,1.09,Good,2,H,SI1,3,10848.37,,,,
528,1.57,Ideal,5,H,I1,1,14452.91,,,,
529,0.71,Ideal,5,F,VS1,4,8579.73,,,,
530,0.72,Good,2,G,VS2,5,8643.56,,,,
531,1.12,Ideal,5,H,SI1,3,11575.06,,,,
532,0.31,Ideal,5,H,IF,8,7030.53,,,,
533,0.7,Ideal,5,F,SI1,3,8041.6,,,,
534,0.53,Ideal,5,H,VS1,4,7065.39,,,,
535,0.3,Ideal,5,H,IF,8,6946.4,,,,
536,0.73,Premium,4,G,VVS2,6,9497.89,,,,
537,0.4,Premium,4,E,VS1,4,5813.6,,,,
538,1.09,Premium,4,H,SI1,3,11164.57,,,,
539,1.21,Premium,4,I,VS2,5,13082.13,,,,
540,0.32,Ideal,5,D,VVS2,6,6206.66,,,,
541,0.31,Ideal,5,G,VVS1,7,6576.53,,,,
542,0.43,Premium,4,I,IF,8,7881.99,,,,
543,0.3,Ideal,5,E,VS2,5,5584.4,,,,
544,1,Ideal,5,H,I1,1,9657.5,,,,
545,0.3,Ideal,5,E,SI2,2,4222.4,,,,
546,0.61,Very Good,3,G,VS2,5,7876.23,,,,
547,0.33,Very Good,3,E,SI1,3,4612.59,,,,
548,0.62,Premium,4,F,VS2,5,8118.46,,,,
549,1.1,Premium,4,G,VS2,5,12156.7,,,,
550,0.32,Ideal,5,F,VS1,4,5298.66,,,,
551,1.08,Very Good,3,F,SI1,3,10922.34,,,,
552,0.41,Ideal,5,G,SI2,2,5147.83,,,,
553,1,Ideal,5,G,SI1,3,10565.5,,,,
554,1,Ideal,5,E,SI1,3,10565.5,,,,
555,0.37,Ideal,5,G,IF,8,7535.31,,,,
556,0.35,Premium,4,E,SI2,2,4484.95,,,,
557,1.2,Good,2,H,SI1,3,11773.8,,,,
558,0.5,Premium,4,E,SI1,3,6200.9,,,,
559,0.43,Ideal,5,G,VVS2,6,7132.09,,,,
560,0.42,Very Good,3,G,VS2,5,6277.76,,,,
561,0.59,Ideal,5,E,SI1,3,7116.17,,,,
562,1.4,Ideal,5,H,SI2,2,13476.7,,,,
563,0.66,Good,2,F,VS2,5,8138.78,,,,
564,1.02,Ideal,5,I,VS2,5,11641.76,,,,
565,0.53,Ideal,5,H,VS2,5,7519.39,,,,
566,0.51,Good,2,F,SI1,3,5968.83,,,,
567,0.42,Very Good,3,D,SI2,2,4915.76,,,,
568,2.03,Ideal,5,H,SI2,2,18776.89,,,,
569,0.41,Premium,4,H,VS1,4,5897.73,,,,
570,0.41,Ideal,5,F,VS1,4,6055.83,,,,
571,0.3,Very Good,3,H,VS2,5,5268.2,,,,
572,1.11,Ideal,5,F,VS2,5,12398.93,,,,
573,0.31,Very Good,3,J,VS2,5,5352.33,,,,
574,0.7,Good,2,F,SI1,3,7567.3,,,,
575,0.4,Premium,4,E,SI1,3,5359.6,,,,
576,0.33,Ideal,5,G,SI2,2,4474.79,,,,
577,0.9,Very Good,3,F,SI2,2,8954,,,,
578,0.31,Ideal,5,F,VS2,5,5668.53,,,,
579,1.15,Ideal,5,D,VS2,5,12735.45,,,,
580,1.01,Ideal,5,D,VVS2,6,12011.63,,,,
581,0.42,Ideal,5,G,VS1,4,6139.96,,,,
582,0.91,Ideal,5,J,VS1,4,10262.33,,,,
583,1.26,Premium,4,I,SI1,3,12594.78,,,,
584,1.28,Ideal,5,G,VS1,4,13375.14,,,,
585,1.17,Ideal,5,G,VVS2,6,13357.71,,,,
586,1.02,Premium,4,G,SI2,2,10121.66,,,,
587,0.57,Ideal,5,E,VS2,5,7855.91,,,,
588,0.91,Very Good,3,I,VS2,5,10400.13,,,,
589,1,Ideal,5,I,VS2,5,11473.5,,,,
590,0.7,Good,2,D,VS1,4,8021.3,,,,
591,1.14,Very Good,3,D,VS2,5,12335.12,,,,
592,0.9,Very Good,3,F,SI2,2,8954,,,,
593,0.3,Ideal,5,G,IF,8,6946.4,,,,
594,0.27,Ideal,5,E,VS1,4,4878.01,,,,
595,0.34,Ideal,5,I,IF,8,7282.92,,,,
596,0.33,Ideal,5,G,IF,8,7198.79,,,,
597,2,Ideal,5,G,SI2,2,18524.5,,,,
598,0.7,Premium,4,G,VS2,5,8791.5,,,,
599,0.37,Good,2,F,VS2,5,5699.01,,,,
600,0.73,Ideal,5,D,VS2,5,9201.99,,,,
601,0.38,Ideal,5,E,SI1,3,5349.44,,,,
602,1,Premium,4,I,VS1,4,10861.4,,,,
603,0.39,Premium,4,G,IF,8,7545.47,,,,
604,0.51,Premium,4,E,VS2,5,7193.03,,,,
605,0.7,Very Good,3,F,SI1,3,7725.4,,,,
606,1.11,Good,2,H,SI2,2,10562.63,,,,
607,0.34,Ideal,5,E,VVS1,7,6828.92,,,,
608,1.25,Ideal,5,J,SI1,3,12668.75,,,,
609,0.52,Ideal,5,J,SI1,3,6527.26,,,,
610,1,Very Good,3,H,SI2,2,9795.3,,,,
611,0.33,Ideal,5,F,VVS1,7,6744.79,,,,
612,1.8,Ideal,5,D,SI2,2,16841.9,,,,
613,0.3,Good,2,H,VS1,4,4656.1,,,,
614,0.7,Very Good,3,E,VS1,4,8179.4,,,,
615,1.08,Ideal,5,G,VS2,5,12146.54,,,,
616,0.61,Good,2,G,I1,1,5902.13,,,,
617,1.1,Premium,4,G,VS2,5,12156.7,,,,
618,0.41,Premium,4,F,VS2,5,6351.73,,,,
619,0.33,Very Good,3,G,VS2,5,5520.59,,,,
620,0.5,Premium,4,J,SI1,3,6200.9,,,,
621,0.38,Premium,4,D,VS1,4,5645.34,,,,
622,2.01,Ideal,5,H,SI2,2,18608.63,,,,
623,0.42,Ideal,5,D,SI1,3,5685.96,,,,
624,1.52,Ideal,5,G,SI1,3,14940.26,,,,
625,0.53,Ideal,5,E,VS1,4,7065.39,,,,
626,0.7,Very Good,3,E,IF,8,9995.4,,,,
627,0.72,Ideal,5,G,VS2,5,9117.86,,,,
628,0.9,Very Good,3,E,SI1,3,9408,,,,
629,1.22,Ideal,5,I,SI1,3,12416.36,,,,
630,0.25,Very Good,3,F,VVS1,7,5755.55,,,,
631,2.03,Ideal,5,I,VS2,5,20138.89,,,,
632,1.02,Ideal,5,G,SI2,2,10279.76,,,,
633,0.74,Ideal,5,J,VS1,4,8832.12,,,,
634,1.24,Premium,4,H,SI1,3,12426.52,,,,
635,1.15,Premium,4,G,SI2,2,11215.35,,,,
636,2.01,Premium,4,I,SI2,2,18450.53,,,,
637,0.71,Premium,4,F,IF,8,10237.63,,,,
638,0.56,Ideal,5,D,SI2,2,6409.78,,,,
639,1.01,Ideal,5,H,SI1,3,10649.63,,,,
640,0.31,Ideal,5,F,IF,8,7030.53,,,,
641,1.19,Ideal,5,D,SI2,2,11709.97,,,,
642,0.5,Ideal,5,D,VS2,5,7267,,,,
643,1.02,Premium,4,G,SI1,3,10575.66,,,,
644,0.38,Premium,4,E,SI1,3,5191.34,,,,
645,0.41,Ideal,5,F,VVS2,6,6963.83,,,,
646,1.52,Ideal,5,D,SI2,2,14486.26,,,,
647,1.22,Ideal,5,G,VS2,5,13324.36,,,,
648,0.53,Ideal,5,D,VS2,5,7519.39,,,,
649,0.4,Very Good,3,D,SI1,3,5201.5,,,,
650,0.33,Premium,4,D,SI1,3,4770.69,,,,
651,0.31,Ideal,5,H,VS1,4,5214.53,,,,
652,1.14,Premium,4,D,SI1,3,11585.22,,,,
653,1.32,Premium,4,I,SI2,2,12645.56,,,,
654,0.23,Very Good,3,F,VVS1,7,5587.29,,,,
655,0.41,Very Good,3,G,VVS2,6,6647.63,,,,
656,2.24,Ideal,5,I,SI2,2,20543.62,,,,
657,0.55,Ideal,5,D,VS2,5,7687.65,,,,
658,2.32,Fair,1,H,SI1,3,21038.26,,,,
659,1.25,Ideal,5,J,VS2,5,13576.75,,,,
660,0.31,Ideal,5,F,SI1,3,4760.53,,,,
661,2.01,Fair,1,H,VS2,5,19338.23,,,,
662,0.55,Ideal,5,E,SI1,3,6779.65,,,,
663,0.7,Very Good,3,E,VVS2,6,9087.4,,,,
664,1.51,Good,2,D,VS1,4,14835.83,,,,
665,0.31,Ideal,5,F,VVS1,7,6576.53,,,,
666,0.95,Ideal,5,H,SI1,3,10144.85,,,,
667,0.24,Ideal,5,G,VS1,4,4625.62,,,,
668,0.4,Premium,4,D,SI2,2,4905.6,,,,
669,1.25,Premium,4,H,SI2,2,12056.65,,,,
670,0.24,Very Good,3,E,VVS1,7,5671.42,,,,
671,0.83,Ideal,5,F,SI1,3,9135.29,,,,
672,1.01,Very Good,3,G,VS2,5,11241.43,,,,
673,0.27,Very Good,3,F,VVS1,7,5923.81,,,,
674,1.1,Ideal,5,F,VS1,4,11860.8,,,,
675,0.3,Premium,4,G,VVS2,6,5880.3,,,,
676,0.52,Ideal,5,E,SI1,3,6527.26,,,,
677,0.4,Ideal,5,G,IF,8,7787.7,,,,
678,1.3,Premium,4,H,SI1,3,12931.3,,,,
679,1.71,Ideal,5,G,VS1,4,16992.73,,,,
680,0.52,Ideal,5,D,VS2,5,7435.26,,,,
681,0.33,Ideal,5,H,VVS1,7,6744.79,,,,
682,1,Very Good,3,E,VVS2,6,11611.3,,,,
683,0.5,Premium,4,F,VS1,4,6654.9,,,,
684,0.91,Very Good,3,F,SI1,3,9492.13,,,,
685,1.21,Ideal,5,G,VS1,4,12786.23,,,,
686,0.51,Ideal,5,D,VS2,5,7351.13,,,,
687,0.41,Premium,4,G,VVS2,6,6805.73,,,,
688,0.94,Very Good,3,F,SI2,2,9290.52,,,,
689,0.31,Premium,4,G,SI1,3,4602.43,,,,
690,0.4,Ideal,5,D,VS2,5,6425.7,,,,
691,1.12,Ideal,5,G,SI1,3,11575.06,,,,
692,1,Good,2,E,SI1,3,10091.2,,,,
693,1.48,Premium,4,H,SI2,2,13991.64,,,,
694,0.32,Ideal,5,G,SI1,3,4844.66,,,,
695,0.76,Good,2,G,IF,8,10342.08,,,,
696,0.42,Ideal,5,D,SI1,3,5685.96,,,,
697,0.5,Good,2,E,SI1,3,5884.7,,,,
698,0.83,Very Good,3,J,VS2,5,9727.09,,,,
699,0.32,Very Good,3,G,VS1,4,4982.46,,,,
700,0.7,Ideal,5,H,VS1,4,8495.6,,,,
701,0.73,Ideal,5,D,VS1,4,8747.99,,,,
702,0.71,Very Good,3,D,VS1,4,8263.53,,,,
703,0.35,Premium,4,F,SI1,3,4938.95,,,,
704,0.42,Premium,4,H,SI1,3,5527.86,,,,
705,0.81,Ideal,5,E,VS2,5,9875.03,,,,
706,0.32,Ideal,5,E,VS2,5,5752.66,,,,
707,0.85,Premium,4,I,I1,1,8237.45,,,,
708,0.71,Good,2,F,SI1,3,7651.43,,,,
709,0.32,Very Good,3,H,VVS2,6,5890.46,,,,
710,1.09,Premium,4,H,SI1,3,11164.57,,,,
711,0.35,Premium,4,D,VS2,5,5846.95,,,,
712,0.82,Premium,4,G,SI2,2,8439.06,,,,
713,1.03,Premium,4,H,SI1,3,10659.79,,,,
714,0.5,Fair,1,H,VS1,4,6180.6,,,,
715,0.8,Ideal,5,H,VS2,5,9790.9,,,,
716,1.12,Premium,4,J,SI2,2,10962.96,,,,
717,1.62,Premium,4,G,VS2,5,16531.46,,,,
718,1.22,Ideal,5,H,SI1,3,12416.36,,,,
719,0.52,Ideal,5,F,VVS1,7,8343.26,,,,
720,1.11,Good,2,I,VS2,5,11924.63,,,,
721,0.31,Very Good,3,F,SI1,3,4444.33,,,,
722,0.42,Ideal,5,D,VS1,4,6139.96,,,,
723,0.32,Ideal,5,H,VS2,5,5752.66,,,,
724,0.9,Very Good,3,F,SI1,3,9408,,,,
725,1.04,Ideal,5,H,SI1,3,10902.02,,,,
726,0.35,Ideal,5,D,VS2,5,6005.05,,,,
727,0.5,Fair,1,E,VS2,5,6634.6,,,,
728,0.36,Very Good,3,D,SI1,3,4864.98,,,,
729,0.3,Premium,4,D,SI2,2,4064.3,,,,
730,0.7,Very Good,3,E,SI1,3,7725.4,,,,
731,0.41,Very Good,3,G,VS1,4,5739.63,,,,
732,0.4,Premium,4,D,VS2,5,6267.6,,,,
733,1.1,Premium,4,E,SI2,2,10794.7,,,,
734,0.74,Very Good,3,E,SI2,2,7607.92,,,,
735,0.51,Ideal,5,F,VS2,5,7351.13,,,,
736,0.27,Very Good,3,F,VVS1,7,5923.81,,,,
737,1.01,Ideal,5,G,VS2,5,11557.63,,,,
738,1.37,Very Good,3,I,SI2,2,12908.11,,,,
739,1.01,Premium,4,H,SI1,3,10491.53,,,,
740,0.39,Fair,1,E,SI1,3,4801.17,,,,
741,0.51,Premium,4,E,SI1,3,6285.03,,,,
742,0.5,Premium,4,G,VVS2,6,7562.9,,,,
743,1.55,Ideal,5,G,SI2,2,14738.65,,,,
744,0.3,Ideal,5,F,IF,8,6946.4,,,,
745,2,Premium,4,D,SI2,2,18366.4,,,,
746,0.35,Premium,4,J,VS1,4,5392.95,,,,
747,0.33,Ideal,5,D,VS2,5,5836.79,,,,
748,1,Very Good,3,G,VS2,5,11157.3,,,,
749,0.93,Good,2,G,SI2,2,9048.29,,,,
750,0.25,Premium,4,E,VVS2,6,5459.65,,,,
751,0.7,Good,2,E,SI1,3,7567.3,,,,
752,1.01,Ideal,5,F,VS2,5,11557.63,,,,
753,0.53,Premium,4,E,VVS2,6,7815.29,,,,
754,1.51,Premium,4,G,VS2,5,15606.03,,,,
755,0.23,Very Good,3,F,VS1,4,4225.29,,,,
756,0.38,Premium,4,F,VS2,5,6099.34,,,,
757,0.3,Good,2,G,VVS2,6,5564.1,,,,
758,0.3,Ideal,5,G,VS1,4,5130.4,,,,
759,1.01,Good,2,I,SI1,3,10175.33,,,,
760,0.8,Premium,4,E,SI1,3,8724.8,,,,
761,0.7,Ideal,5,E,VS1,4,8495.6,,,,
762,0.7,Good,2,G,VS1,4,8021.3,,,,
763,1.26,Ideal,5,I,SI2,2,12298.88,,,,
764,1.09,Ideal,5,G,VVS2,6,12684.67,,,,
765,1,Very Good,3,I,SI2,2,9795.3,,,,
766,0.6,Ideal,5,E,VS1,4,7654.3,,,,
767,0.32,Premium,4,H,SI1,3,4686.56,,,,
768,0.41,Ideal,5,D,VVS2,6,6963.83,,,,
769,0.32,Premium,4,F,VS2,5,5594.56,,,,
770,0.4,Very Good,3,E,VS1,4,5655.5,,,,
771,3,Very Good,3,H,I1,1,26167.3,,,,
772,0.56,Premium,4,E,VS2,5,7613.68,,,,
773,0.9,Good,2,D,SI2,2,8795.9,,,,
774,0.36,Ideal,5,H,VVS1,7,6997.18,,,,
775,0.31,Very Good,3,E,VS2,5,5352.33,,,,
776,1.19,Very Good,3,H,SI1,3,11847.77,,,,
777,0.56,Ideal,5,G,VVS1,7,8679.78,,,,
778,0.7,Premium,4,F,VS2,5,8791.5,,,,
779,0.71,Premium,4,I,VVS1,7,9783.63,,,,
780,0.52,Very Good,3,G,VVS1,7,8027.06,,,,
781,0.33,Premium,4,D,SI2,2,4316.69,,,,
782,0.34,Ideal,5,F,VS2,5,5920.92,,,,
783,1.19,Very Good,3,D,VVS1,7,13663.77,,,,
784,0.4,Premium,4,D,VS1,4,5813.6,,,,
785,1.07,Very Good,3,G,VS2,5,11746.21,,,,
786,1.61,Ideal,5,G,VS2,5,16605.43,,,,
787,1,Premium,4,E,VS1,4,10861.4,,,,
788,1.07,Ideal,5,G,SI1,3,11154.41,,,,
789,0.41,Ideal,5,F,VS2,5,6509.83,,,,
790,2.03,Premium,4,D,SI2,2,18618.79,,,,
791,0.58,Ideal,5,J,VS1,4,7486.04,,,,
792,0.8,Very Good,3,F,SI1,3,8566.7,,,,
793,0.32,Ideal,5,H,VS2,5,5752.66,,,,
794,0.7,Ideal,5,D,SI1,3,8041.6,,,,
795,0.79,Premium,4,H,SI1,3,8640.67,,,,
796,0.93,Very Good,3,I,VS2,5,10568.39,,,,
797,0.37,Very Good,3,F,VS2,5,5857.11,,,,
798,0.41,Premium,4,E,VS2,5,6351.73,,,,
799,0.31,Ideal,5,D,SI2,2,4306.53,,,,
800,0.7,Ideal,5,E,VS2,5,8949.6,,,,
801,0.53,Ideal,5,D,VS2,5,7519.39,,,,
802,0.3,Very Good,3,H,VS2,5,5268.2,,,,
803,0.95,Very Good,3,E,SI2,2,9374.65,,,,
804,0.41,Premium,4,F,VVS2,6,6805.73,,,,
805,1.34,Premium,4,G,SI2,2,12813.82,,,,
806,1,Very Good,3,D,SI1,3,10249.3,,,,
807,0.42,Premium,4,D,VS1,4,5981.86,,,,
808,0.41,Premium,4,E,VS1,4,5897.73,,,,
809,0.5,Ideal,5,G,VVS1,7,8175,,,,
810,0.46,Premium,4,I,SI2,2,5410.38,,,,
811,0.35,Ideal,5,G,IF,8,7367.05,,,,
812,0.82,Ideal,5,D,VS2,5,9959.16,,,,
813,2.48,Very Good,3,F,SI2,2,22246.54,,,,
814,0.35,Premium,4,J,VS1,4,5392.95,,,,
815,1.52,Premium,4,D,SI2,2,14328.16,,,,
816,1.07,Ideal,5,F,VVS2,6,12516.41,,,,
817,0.61,Ideal,5,E,SI2,2,6830.43,,,,
818,0.39,Very Good,3,G,VVS2,6,6479.37,,,,
819,0.71,Premium,4,G,SI2,2,7513.63,,,,
820,0.51,Fair,1,F,SI1,3,5810.73,,,,
821,1.67,Ideal,5,D,SI1,3,16202.21,,,,
822,1,Premium,4,G,I1,1,9499.4,,,,
823,0.3,Good,2,F,VS2,5,5110.1,,,,
824,1.22,Very Good,3,H,SI1,3,12100.16,,,,
825,0.72,Ideal,5,F,VS2,5,9117.86,,,,
826,0.94,Premium,4,E,SI1,3,9902.62,,,,
827,0.51,Ideal,5,D,SI2,2,5989.13,,,,
828,1.01,Very Good,3,J,SI1,3,10333.43,,,,
829,0.41,Premium,4,F,SI2,2,4989.73,,,,
830,0.3,Very Good,3,E,SI1,3,4360.2,,,,
831,1.11,Premium,4,I,SI2,2,10878.83,,,,
832,0.5,Ideal,5,E,SI1,3,6359,,,,
833,1.2,Good,2,J,VS2,5,12681.8,,,,
834,0.56,Ideal,5,H,SI1,3,6863.78,,,,
835,0.9,Premium,4,D,SI1,3,9566.1,,,,
836,1,Fair,1,I,VS1,4,10387.1,,,,
837,0.35,Ideal,5,I,VS1,4,5551.05,,,,
838,0.31,Ideal,5,D,VS2,5,5668.53,,,,
839,0.71,Very Good,3,E,VS2,5,8717.53,,,,
840,0.3,Premium,4,G,VVS2,6,5880.3,,,,
841,0.3,Ideal,5,E,VS1,4,5130.4,,,,
842,1,Very Good,3,E,IF,8,12519.3,,,,
843,0.3,Premium,4,G,VVS2,6,5880.3,,,,
844,1.48,Ideal,5,E,SI2,2,14149.74,,,,
845,1.5,Ideal,5,I,SI1,3,14772,,,,
846,2.35,Premium,4,I,SI2,2,21310.95,,,,
847,0.5,Good,2,D,SI1,3,5884.7,,,,
848,0.38,Ideal,5,E,SI2,2,4895.44,,,,
849,1.06,Ideal,5,G,VS1,4,11524.28,,,,
850,0.33,Ideal,5,G,VS2,5,5836.79,,,,
851,0.7,Fair,1,F,I1,1,6501.2,,,,
852,0.3,Ideal,5,D,VS2,5,5584.4,,,,
853,1.5,Good,2,I,SI2,2,13843.7,,,,
854,0.34,Very Good,3,G,VVS1,7,6512.72,,,,
855,0.59,Premium,4,D,VS1,4,7412.07,,,,
856,0.81,Premium,4,G,SI1,3,8808.93,,,,
857,0.55,Ideal,5,G,VVS2,6,8141.65,,,,
858,0.31,Ideal,5,E,VS1,4,5214.53,,,,
859,0.91,Good,2,G,VS2,5,10242.03,,,,
860,0.4,Premium,4,H,SI1,3,5359.6,,,,
861,0.81,Ideal,5,E,VS2,5,9875.03,,,,
862,0.31,Ideal,5,F,IF,8,7030.53,,,,
863,1.1,Premium,4,H,SI1,3,11248.7,,,,
864,0.31,Very Good,3,H,VVS2,6,5806.33,,,,
865,0.45,Ideal,5,G,VVS1,7,7754.35,,,,
866,0.32,Ideal,5,D,VS2,5,5752.66,,,,
867,0.32,Ideal,5,G,IF,8,7114.66,,,,
868,0.31,Premium,4,J,SI1,3,4602.43,,,,
869,1,Very Good,3,F,SI2,2,9795.3,,,,
870,2.02,Premium,4,I,SI2,2,18534.66,,,,
871,2.01,Premium,4,H,SI2,2,18450.53,,,,
872,1.02,Very Good,3,F,SI1,3,10417.56,,,,
873,1.16,Ideal,5,H,SI2,2,11457.58,,,,
874,0.77,Very Good,3,H,SI1,3,8314.31,,,,
875,0.59,Premium,4,I,IF,8,9228.07,,,,
876,0.34,Premium,4,D,SI2,2,4400.82,,,,
877,0.3,Good,2,I,IF,8,6472.1,,,,
878,0.58,Ideal,5,I,SI1,3,7032.04,,,,
879,0.52,Very Good,3,H,VS1,4,6665.06,,,,
880,0.33,Premium,4,G,VVS1,7,6586.69,,,,
881,1.38,Ideal,5,F,SI2,2,13308.44,,,,
882,0.71,Ideal,5,F,SI2,2,7671.73,,,,
883,0.96,Fair,1,F,SI2,2,9142.58,,,,
884,1.02,Ideal,5,E,VVS1,7,12549.76,,,,
885,0.53,Good,2,E,VS2,5,7045.09,,,,
886,0.9,Premium,4,D,SI2,2,9112.1,,,,
887,0.34,Fair,1,F,I1,1,3472.52,,,,
888,0.36,Very Good,3,H,VS2,5,5772.98,,,,
889,0.83,Very Good,3,F,VS1,4,9273.09,,,,
890,1.3,Premium,4,I,IF,8,15201.3,,,,
891,1.02,Ideal,5,E,SI1,3,10733.76,,,,
892,0.34,Ideal,5,E,VVS2,6,6374.92,,,,
893,0.54,Good,2,G,VS1,4,6675.22,,,,
894,0.56,Premium,4,G,VS1,4,7159.68,,,,
895,2.37,Ideal,5,J,VS2,5,22999.31,,,,
896,1.15,Ideal,5,H,SI2,2,11373.45,,,,
897,0.4,Ideal,5,H,VS1,4,5971.7,,,,
898,1.59,Ideal,5,G,VVS2,6,16891.17,,,,
899,1.42,Very Good,3,G,VVS2,6,15144.76,,,,
900,0.31,Ideal,5,E,VVS2,6,6122.53,,,,
901,0.57,Ideal,5,F,IF,8,9217.91,,,,
902,0.7,Premium,4,I,VS2,5,8791.5,,,,
903,0.41,Very Good,3,H,SI1,3,5285.63,,,,
904,0.55,Very Good,3,E,SI1,3,6463.45,,,,
905,1.01,Ideal,5,D,VS2,5,11557.63,,,,
906,0.24,Very Good,3,E,VVS2,6,5217.42,,,,
907,0.3,Very Good,3,E,SI1,3,4360.2,,,,
908,1.13,Ideal,5,F,SI1,3,11659.19,,,,
909,0.72,Premium,4,H,SI1,3,8051.76,,,,
910,0.52,Ideal,5,D,SI2,2,6073.26,,,,
911,1,Very Good,3,D,SI1,3,10249.3,,,,
912,0.47,Very Good,3,D,VS1,4,6244.41,,,,
913,0.41,Ideal,5,D,SI2,2,5147.83,,,,
914,0.51,Premium,4,G,SI1,3,6285.03,,,,
915,1,Very Good,3,F,SI1,3,10249.3,,,,
916,1.55,Good,2,H,VS2,5,15626.35,,,,
917,0.71,Very Good,3,G,VS2,5,8717.53,,,,
918,1.21,Ideal,5,G,VS2,5,13240.23,,,,
919,1.95,Very Good,3,H,VS2,5,19149.65,,,,
920,1.51,Premium,4,G,SI1,3,14698.03,,,,
921,0.3,Premium,4,D,VS2,5,5426.3,,,,
922,0.72,Very Good,3,D,VS2,5,8801.66,,,,
923,0.31,Ideal,5,E,VVS2,6,6122.53,,,,
924,0.53,Ideal,5,D,VS2,5,7519.39,,,,
925,0.71,Very Good,3,G,SI2,2,7355.53,,,,
926,1.07,Ideal,5,G,SI1,3,11154.41,,,,
927,0.24,Very Good,3,E,VS1,4,4309.42,,,,
928,1,Very Good,3,F,IF,8,12519.3,,,,
929,0.55,Ideal,5,G,VS1,4,7233.65,,,,
930,0.52,Ideal,5,E,VS2,5,7435.26,,,,
931,0.72,Ideal,5,G,SI2,2,7755.86,,,,
932,0.9,Good,2,G,SI1,3,9249.9,,,,
933,0.41,Ideal,5,F,VS2,5,6509.83,,,,
934,0.33,Ideal,5,G,SI1,3,4928.79,,,,
935,0.56,Very Good,3,H,VS1,4,7001.58,,,,
936,1.01,Very Good,3,F,SI2,2,9879.43,,,,
937,0.46,Premium,4,F,VVS1,7,7680.38,,,,
938,1.01,Very Good,3,I,SI1,3,10333.43,,,,
939,0.3,Ideal,5,F,VS2,5,5584.4,,,,
940,0.3,Premium,4,G,VS1,4,4972.3,,,,
941,2.02,Very Good,3,H,SI2,2,18376.56,,,,
942,0.32,Ideal,5,E,VVS2,6,6206.66,,,,
